Observation,Burn.unit,Plot.no,Fuel.trt,Logger.pos,Profile,GreenFreq,Peak.temp,Ambient.temp,Max.temp.incr,Duration.emp,Total.heat.emp,Notes
22,Sunset,12636,Increase,Surface,NO,8,278.29,26.02193997,252.26806,45.81666667,49.09100076,
23,Sunset,12637,Increase,1Below,PROFILE,27,80.69636364,23.98,56.71636364,,0,
24,Sunset,12637,Increase,2Below,PROFILE,27,76.22363636,23.64,52.58363636,,0,
25,Sunset,12637,Increase,4Below,PROFILE,27,56.92,23.31493052,33.60506948,,0,"loggers removed at 3pm, before soil is cool"
26,Sunset,12637,Increase,Above,PROFILE,27,708.7636364,27.13680934,681.626827,24.31666667,50.50635025,
27,Sunset,12637,Increase,Surface,PROFILE,27,369.7145455,24.65421901,345.0603264,21.26666667,30.68601843,
28,Sunset,12640,Control,1Below,PROFILE,100,43.96,26.05614786,17.90385214,,0,removed loggers 2:52
29,Sunset,12640,Control,2Below,PROFILE,100,33.01,24.97981656,8.030183435,,0,
30,Sunset,12640,Control,4Below,PROFILE,100,28.12363636,24.30651473,3.817121633,,0,temp drop
31,Sunset,12640,Control,Above,PROFILE,100,152.3409091,26.71234272,125.6285664,8.766666667,3.534658838,
32,Sunset,12640,Control,Surface,PROFILE,100,356.0618182,34.05667593,322.0051423,9.033333333,10.5550351,"a long shallow dip, not sure what to make of it"
33,Sunset,12646,Control,Surface,NO,89,196.5236364,33.11357421,163.4100622,11.55,6.417324242,questionable peak prior to highest peak
34,Sunset,12648,Control,Surface,NO,90,227.4372727,29.30280156,198.1344712,13.58333333,9.571514394,
35,Sunset,12649,Control,Surface,NO,100,109.5009091,32.81095609,76.689953,7.35,2.673826263,
36,Sunset,12652,Control,1Below,PROFILE,94,40.62,27.67036687,12.94963313,,0,
37,Sunset,12652,Control,2Below,PROFILE,94,39.36,28.74938855,10.61061145,,0,
38,Sunset,12652,Control,4Below,PROFILE,94,31.01,28.18135631,2.828643691,,0,"don't know when removed loggers, no notes"
39,Sunset,12652,Control,Above,PROFILE,94,249.76,35.86428016,213.8957198,8.616666667,6.689080556,
40,Sunset,12652,Control,Surface,PROFILE,94,389.1318182,56.07289049,333.0589277,8.633333333,10.13345404,
41,Sunset,12654,Control,Surface,NO,100,94.28636364,29.54773207,64.73863156,8.216666667,1.641469192,
42,Sunset,12655,Increase,Surface,NO,24,172.3190909,24.92515286,147.393938,11.86666667,6.859882576,
43,Sunset,12660,Reduce,Surface,NO,99,79.84,37.40284047,42.43715953,8.216666667,1.881942929,"10 degree peak at 13:11, prior to highest peak"
44,Sunset,12664,Increase,Surface,NO,32,421.0381818,24.31018899,396.7279928,45.55,69.35006465,
45,Sunset,12665,Reduce,Surface,NO,98,55.90818182,34.98887715,20.91930466,3.783333333,0.392704293,
46,Sunset,12671,Increase,1Below,PROFILE,25,62.98,24.90934408,38.07065592,,0,
47,Sunset,12671,Increase,2Below,PROFILE,25,69.83,24.68426904,45.14573096,,0,
48,Sunset,12671,Increase,4Below,PROFILE,25,38.66,24.58565617,14.07434383,,0,"initial increase, drop in temp, then large increase, logger removed at 3:20"
49,Sunset,12671,Increase,Above,PROFILE,25,519.64,28.12091718,491.5190828,67.95,201.4109689,
50,Sunset,12671,Increase,Surface,PROFILE,25,382.7236364,25.8796963,356.8439401,42.05,71.90932298,print?
51,Sunset,12672,Control,1Below,PROFILE,96,44.62,28.71993178,15.90006822,,0,
52,Sunset,12672,Control,2Below,PROFILE,96,38.99,28.26420233,10.72579767,,0,
53,Sunset,12672,Control,4Below,PROFILE,96,30.68,26.05841579,4.621584213,,0,"loggers removed at 3pm, before soil is cool"
54,Sunset,12672,Control,Above,PROFILE,96,369.48,44.94959978,324.5304002,14.81666667,15.79529975,"Is this too early? - no, soil decreases at the same time"
55,Sunset,12672,Control,Surface,PROFILE,96,184.0654545,31.9704169,152.0950376,11.58333333,5.423248232,
56,Sunset,12934,Reduce,1Below,PROFILE,99,41.97,37.13997777,4.830022235,,0,"I included the entire dip in temp, but did not for parallel above ground logger€"
57,Sunset,12934,Reduce,2Below,PROFILE,99,36.61,34.37264591,2.237354086,,0,
58,Sunset,12934,Reduce,4Below,PROFILE,99,32.07181818,30.50340189,1.568416292,,0,"loggers removed at 3:33, temp decreases after that"
59,Sunset,12934,Reduce,Above,PROFILE,99,87.93181818,48.4150139,39.51680429,4.8,0.898188636,
60,Sunset,12934,Reduce,Surface,PROFILE,99,112.02,48.64303755,63.37696245,10.2,2.678779293,multiple temp decreases before fire hits plot€
61,Tallwinds,13498,Increase,1Below,PROFILE,80,38.57,24.00104957,14.56895043,,0,
62,Tallwinds,13498,Increase,2Below,PROFILE,80,32.01,23.48956087,8.520439133,,0,
